,WB_changes_open,WBDefinition,Happiness_Change,LifeSatisfaction_Change,PhysicalHealth_Change,MentalHealth_Change,MeaningPurpose_Change,CharacterVirtue_Change,SocialRelationships_Change,Financial_Change,Spirituality_Change,Education_Change,Employment_Change,Recreation_Change,SelfEsteem_Change,Family_Change,Safety_Change,Group_top3,Happiness_Rank,LifeSatisfaction_Rank,PhysicalHealth_Rank,MentalHealth_Rank,MeaningPurpose_Rank,CharacterVirtue_Rank,SocialRelationships_Rank,Financial_Rank,Spirituality_Rank,Education_Rank,Employment_Rank,Recreation_Rank,SelfEsteem_Rank,Family_Rank,Safety_Rank,Other_YesNo,Other_top3,Study_Rating,MindfulnessChanges_open,StressChanges_open,StudyExpectation_open,ChangesWithinSelf_open,Suggestions_open,Chatbot_supportive,Chatbot_easy,Chatbot_efficient,Chatbot_clear,Chatbot_exciting,Chatbot_interesting,Chatbot_inventive,Chatbot_leadingedge,Chatbot_Rating,Chatbot_LikeDislike,Study_supportive,Study_easy,Study_efficient,Study_clear,Study_exciting,Study_interesting,Study_inventive,Study_leadingedge,PSS,CatchQuestions,ERQ,MPoD,SRI,PositiveMood,NegativeMood,WellbeingRating,Reappraisal,DC_awareness,DC_nonreactivity,DC_disidentification,Mindful_skill,SWLS,Extraversion,Agreeableness,Conscientiousness,Neuroticism,OpennesstoExperience,FFMQ15,FFMQ_Observing,FFMQ_Describe,FFMQ_ActingwAwareness,FFMQ_NonJudging,FFMQ_Nonreactivity,Autonomy,Competence,Relatedness,Meaning_Presence,Meaning_Search,Synchronicity,Condition,RandomID,id,BaselineDate,Time
33,Its changed a lot,I feel now that wellbeing is the state of my soul that operates how good or bad I feel mentally,3,4,3,3,3,3,2,3,3,4,3,2,4,3,3,"Education,Close Social Relationships,Financial and Material Stability",NA,NA,NA,NA,NA,NA,2,3,NA,1,NA,NA,NA,NA,NA,No,NA,5,It changed slightly because I am more aware of it now.,It didn't change because I always felt like I knew what stress is.,It felt pretty average to me. I do wish this study were done in person as I felt that it was better.,I noticed that I'm a lot more aware of my metal state now,No suggestions,7,7,4,6,2,6,4,4,6,I liked the chatbot because it was predictable after the first few days. I do wish that he didn't glitch out so that you could have gotten all of your data.,NA,NA,NA,NA,NA,NA,NA,NA,39,3,30,84,31,30,23,6,61,32,25,27,6,19,6,7,9,4,6,53,15,13,10,6,9,11,12,10,22,24,30,Domain,9682,3943,9/7/2023,2
35,I think it has progressively gotten a little worse. There have been more stressors in my life from my relationships and work. ,"The term wellbeing is your overall satisfaction with your life, how you feel about yourself and also how you feel by yourself. ",2,3,4,2,3,3,2,3,3,4,2,4,3,3,3,"Close Social Relationships,Character and Virtue,Happiness",3,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,4,"Mindfulness to me is still the awareness of yourself, others, and your surrounding environment. ",Stress to me is still the pressured feeling from different aspects of your life to have you perform in certain ways or make certain decisions/,I just coloured. It was nice but I don't think it really taught me how to be mindful or how to separate my sense of self from my thoughts and emotions,Focusing on the colouring was nice and I took it as a nice distraction from whatever I was doing in the moment of.,"I think this study would be a lot more effective when not doing it online, so curating a space to facilitate mindfulness. Additionally, I think instructing participants to answer the survey at the end of the day would have made more sense for the questions being asked. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,7,7,3,2,2,2,37,3,18,38,23,21,26,2,41,10,11,17,1,11,4,8,7,6,6,39,8,9,9,7,6,6,8,4,21,18,2,Control,5727,3310,9/7/2023,2
36,"I feel it has become slightly better,","Wellbeing to me is a balance between the mind and body, to be open and firm at the same time. Tempering the mind, and doing physical exercise.",4,4,4,4,3,3,3,3,3,3,3,4,4,3,3,"Mental Health,Physical Health,Meaning  and Purpose of Life",NA,NA,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,4,"Nothing really changed, and no experience during this study really confirmed anything either as it is formulated in the question. It made me specifically think about the times during the study I was mindful though, so I would say that is what I learned, to be more mindful towards myself and reflect on the positivity I have tried to exert.","It made me think about what stress really means to me, In a way that is an uneasy feeling that is hard to manage, and in a way that is easy to manage. I think thinking about stress made me think more about working more on my mental balance, than the understanding of stress itself.",I think I expected the training to come with exercises that would have some form of calming effect. It did not. If the drawings had been more fun (easier to draw) I think it would have been though.,I became slightly more positive and determined. It is unrelated to the study though.,"Make the drawing part more fun and accessible to maybe a touch pen or similar. I wish I could have finished several pictures, but because of the drawing tool I did not find it fun enough. Although I do not know your purpose in that part of the exercise.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,4,5,3,4,3,3,15,3,35,90,38,23,10,6,73,30,30,30,3,13,6,7,8,2,9,63,15,10,13,13,12,15,13,5,34,23,5,Control,1547,3403,9/6/2023,2
39,My wellbeing has stayed fairly consistent throught this study. I did not notice any significant differences ,"Wellbeing is to be emotionally, physically and mentally healthy. Being able to function well in all of lifes daily situations.",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Mental Health,Physical Health,Financial and Material Stability",NA,NA,2,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,No,NA,6,Overall my definition of mindfullness has stayed the same. It has reaffirmed for me the importance of living in the moment and connecting with my emotions and thoughts ,My undertsanding of stress had remained the same throughtout the study,The training did not ultimately help any goals nor did it meet my expectations. though i do not believe it to be a limit of the study.,nohting about me has changed (at least not that i had preceived) while participating in this study,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,3,3,3,3,43,3,17,59,17,26,23,3,34,20,14,25,2,11,7,6,7,9,7,31,9,5,4,7,6,9,10,9,14,30,3,Control,6230,3871,9/7/2023,2
40,I think my wellbeing has been improved and mentally matured. ,Wellbeing means being healthy both mentally and physically.,4,4,4,4,3,3,3,3,3,4,3,3,4,4,3,"Family,Self-esteem,Happiness",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,No,NA,6,"my understanding of mindfulness did not change, and it was confirmed that practicing mindfulness is important in life.",My understanding of stress has not changed as stress means something that deteriorate my mental health. ,This training has met my expectations to a full extent that my wellbeing is checked everyday.,"While participating in this study, I got to check my own mental health daily.",This experience has been fun and meaningful for me to keep my days checked.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,6,7,4,4,4,5,31,3,38,91,40,31,20,6,78,29,31,31,6,18,4,7,5,5,7,47,12,9,7,6,13,12,10,12,25,30,21,Control,1705,3394,9/7/2023,2
42,I feel like my well being has improved in certain ways since I have more ways of dealing with my stress,I would define Well-being as my mental state and my sense of comfort with myself ,4,4,4,4,4,4,5,5,4,5,5,5,4,3,4,"Mental Health,Physical Health,Life Satisfaction",NA,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,6,I feel like it mostly stayed the same. I think now I’m realizing I can be more aware of my feelings and how to deal with them. ,"Understanding of stress stayed the same. Stress can be caused by difficult situations and other stressors, but I guessed I realized more that this stress can be managed. ",I liked the training and have more skills to cope with my stress and anything overwhelming that I face. ,I’m able to let go of distressing thoughts more and able to deal with them better. ,I liked the chat bot and thought it was a good idea. ,7,7,7,7,6,7,7,7,6,"I thought it was a good idea since this can help people dealing with negative emotions. It gives great ways to cope, but I had some difficulties in the first two days trying to use it. Maybe it was due to my device?",NA,NA,NA,NA,NA,NA,NA,NA,26,3,42,80,42,47,17,5,84,21,26,33,6,17,6,9,8,9,9,50,9,6,10,15,10,15,15,15,26,29,28,Choice,4288,3553,9/7/2023,2
43,"I would say my wellbeing has stayed relatively the same, I haven't noticed any significant changes. If anything, it has increased a very small amount.  ","To have a goal or mission in life with which one can occupy their time, accompanied by stable physical and mental health, and supportive friends or family to accompany the individual in their life.",3,4,3,3,3,3,4,3,3,3,3,4,3,3,3,"Meaning  and Purpose of Life,Life Satisfaction,Family",NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,No,NA,6,"My understanding of mindfulness became more directed on the broad picture, in that I focus more on large things in my life like meaning and satisfaction than i would focus on temporal things like immediate disfaction. ","No, my understanding of stress has remained the same. For me, the most stressfully thing currently is academics, as it is quite a competitive environment. This however, is not necessarily a bad thing, I think stress to a degree can be healthy and helpful.","The training itself did make me more conscious of applications in my general life (satisfaction, meaning, etc.) but the task I was given was a brief time of colouring. I had done some of the daily tasks on my phone, and drawing itself was difficult. This may have unfortunately, affected my answers. Other than that, I thought this was an effective and interesting experience. ","As previously mentioned, I became more notably conscious of broad life patterns and opinions like satisfaction and meaning. This i would suggest, is a good thing. It takes my attention away from immediate things that may be dissatisfying in the moment and helps me focus on the reason for everything I do, and the end goal. ",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,5,6,4,4,4,4,28,3,23,57,30,30,15,6,53,19,22,16,5,16,4,6,8,4,8,56,10,12,12,12,10,14,12,12,27,27,19,Control,4412,3988,9/7/2023,2
45,"My mindset has become better. I was already in a very positive headspace, but I ended up becoming slightly more positive. ","Wellbeing to me is defined as the spiritual, mental and physical wellness of an individual. ",3,3,3,4,3,3,4,3,4,4,3,4,3,3,3,"Self-esteem,Physical Health,Spirituality",NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,No,NA,5,I realized a lot of the reasons I felt the way I do was because of my confidence in myself.,"stress to me used to be every responsibility I had in my life but then I realized it does not have to contribute to my stress unless I want it to. Many of the things we stress over are not really a big deal in everyday life, so I learned to downplay my negative feelings on tasks. ","The training helped me become slightly more mindful in everyday life. I am on an ongoing spiritual journey which involves meditation each day, and the training has helped me become better at stepping back and just breathing.",I think more positively about inconvenient circumstances,no.,6,6,4,5,2,2,1,1,4,It feels more robotic and I was not as engaged in the chat bots advice or exercises. They felt like general advice rather than pertaining to my specific situations.,NA,NA,NA,NA,NA,NA,NA,NA,28,3,28,82,33,27,15,5,61,25,28,29,5,15,7,7,6,4,6,54,11,9,9,13,12,11,9,10,30,28,17,Domain,4577,3574,9/6/2023,2
46,Relatively the same ,Feeling at peace. Comfortable in my body. Feeling safe and secure. Clear mind. Living life with intentions. Active lifestyle. Prioritizing my mental and physical health.,3,3,3,3,4,4,3,3,4,5,5,3,4,3,3,"Life Satisfaction,Mental Health,Self-esteem",NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,No,NA,7,"Mindfulness, to me, is about being present and aware of your surroundings and feelings. Not being impulsive and not reacting to things out of your control.",Stress is fear of the future/unknown. I want to be able to manage my stress better. My hope is to no longer stress about the little things.,"I really enjoyed taking time to colour each day. It made me slow down, make time for something peaceful, and remember the beauty in the world. It put my mind at ease.",I realized it's important to make time for something artistic. It's important to find an activity that can calm your nerves before a hectic day. ,Thank you! ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,6,7,5,5,31,3,31,67,30,29,21,4,61,22,25,20,3,12,3,7,7,6,10,55,12,9,11,11,12,12,12,10,18,35,7,Control,1880,3907,9/7/2023,2
48,"Since the beginning of this study my look on wellbeing has changed.  I always looked as wellbeing as something that is programmed into our minds and can not be changed.  However, after this study I learned that I can practice many different mindfulness techniques that allow me to be in control of my own wellbeing.",The term wellbeing means to me that I am fully capable to be in control and be happy if I want to.  I would define the term wellbeing is a constantly fluctuating state that is determined by your own self.  ,4,4,3,4,3,3,3,3,3,4,3,3,4,4,3,"Financial and Material Stability,Family,Happiness",3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,No,NA,5,My understanding of mindfulness did change since I was able to think of it as more of a practiced technique than a genetic gift.,My understanding of stress did change because I am able to look at the stress in a more positive light by seeing how stress can drive me to be a better person and student.,"The training met some of my goals and expectations, because I am know able to look at difficult situations in a new light.",I noticed that I was able to reflect deeply on problematic situations without immediately lashing out and in turn it allowed me to take control of my emotions.,"My experience was good, the only problem I had was that I was repeating the same 3 things for the study.  I would suggest to expand the mindfulness bot to give more techniques that can help people like me look at my emotions in a positive light.
",6,7,4,5,2,5,6,4,5,The chatbot was a great tool to feel like I am able to talk to someone.  I disliked that the chatbot repeated information daily for his stuff and not much was learned after the 3rd day of trying every mindfulness technique.,NA,NA,NA,NA,NA,NA,NA,NA,46,3,34,93,35,37,17,7,69,30,30,33,4,12,5,9,5,5,4,45,6,6,9,12,12,14,14,10,17,14,12,Choice,8843,4009,9/7/2023,2
49,I believe that my well being has improved slightly ,Wellbeing to me now means having meaningful relationships with peers and having a fulfilled life ,3,3,4,2,3,3,4,3,3,3,3,4,3,3,3,"Mental Health,Physical Health,Close Social Relationships",NA,NA,2,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,7,It changed focusing more on social relations than inner peace ,I used to think stress was bad before this study but I slowly realized that stress can be good ,I would say to a low degree the training has met my expectations as I thought more interactive activities would have taken place ,I noticed I started paying more attention to specific tasks when doing them ,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,6,7,2,4,3,3,52,3,23,69,28,13,19,5,51,21,20,28,3,13,4,8,7,10,10,51,13,12,7,8,11,12,14,15,25,34,17,Control,8195,4024,9/7/2023,2
