,Duration (in seconds),Practice_Rating,Practice_LikeDislike,Apply_Practice,BaselineDate,Condition,RandomID,id,StudyDay,CurrentDate,Positive_pre,Negative_pre,Stress_pre,Positive_post,Negative_post,Stress_post,Disidentification,Nonreactivity,Reappraisal,Satisfied,Autonomy,Relatedness,Competence,Belonging,Meaning,PosAffect,NegAffect,Stressed
155,367,NA,NA,NA,9/6/2023,Control,1317,3772,3,2023-09-09T00:00:00.000Z,4,1,1,4,1,1,4,5,5,6,5,4,5,4,5,4,1,1
157,374,NA,NA,NA,9/6/2023,Control,7701,3601,3,2023-09-09T00:00:00.000Z,4,2,3,4,2,3,4,3,3,4,3,3,3,5,3,4,2,3
158,14383,4,the recommended excersise sounds like it’s not for me but the bot did recommend alternatives so that was cool. i get how the excersises might work. ,i guess it would be to center myself when my mind is wandering from the task at hand. what’s nice about this was it’s applicable to other situations too instead of just the focus topic i chose. ,9/6/2023,Value,3758,3343,3,2023-09-09T00:00:00.000Z,3,2,4,3,2,3,5,5,4,4,6,3,5,4,3,3,2,3.5
159,914,6,I liked how it let me wind down for a bit in order to pick out what I am greatful for in daily life.,"I usually meditate before bed, so this is a perfect mindfulness practice I can integrate into my nightly routine.",9/6/2023,Value,4577,3574,0,2023-09-09T00:00:00.000Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,598,6,I liked this exercise because it shifted my thoughts and focus from the negative aspects of my life to the happy parts of it. ,I can apply this practice to my daily life by doing it when i feel down or discouraged. ,9/7/2023,Value,8026,4018,0,2023-09-09T00:00:00.000Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
161,425,NA,NA,NA,9/7/2023,Control,9313,4039,2,2023-09-09T00:00:00.000Z,3,2,4,3,2,4,4,4,4,4,4,4,4,4,4,3,2,4
162,996,NA,NA,NA,9/8/2023,Control,6096,4192,1,2023-09-09T00:00:00.000Z,4,1,5,4,1,5,4,5,2,4,7,5,1,4,3,4,1,5
164,1429,4," AI chat systems sometimes lack the human touch, which can be crucial in situations requiring empathy or nuanced understanding. They can also misinterpret user queries due to linguistic nuances or cultural context, leading to user frustration. However,This can provide 24/7 customer service, ensuring that users receive assistance at any time of day or night. This continuous availability can lead to improved customer satisfaction.",To help me reflect about my work.,9/7/2023,Value,2465,3784,0,2023-09-09T00:00:00.000Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
165,785,NA,NA,NA,9/6/2023,Control,1547,3403,3,2023-09-09T00:00:00.000Z,3,2,3,4,1,2,5,5,4,3,4,3,4,6,4,3.5,1.5,2.5
168,375,NA,NA,NA,9/6/2023,Control,1774,3487,3,2023-09-09T00:00:00.000Z,5,2,2,NA,1,1,3,4,5,6,3,6,7,5,6,NA,1.5,1.5
169,37841,5,I liked that the recommended exercise help me recognize and be grateful for the joyous little moments in life.,"I journal when I am anxious or have a lot of things in my mind, so now instead of only writing down negative things, I can also add in some happy moments from the day which can make each day more positive. ",9/8/2023,Value,8785,3649,1,2023-09-09T00:00:00.000Z,3,1,3,4,1,3,3,5,2,4,5,3,4,3,4,3.5,1,3
170,2302,7,"OpenAI really gives insightful and logical suggestions to positively influence the user’s emotional and mental state. I was feeling very down with low self-esteem, but the chatbot suggested an easy exercise along with words of encouragement to enhance my mood. I really think most people these days will use such chatbot just to get some positive words or because they feel lonely or want to share something that they don’t want their families or friends to know and get feedbacks from it since AI’s do not have what humans do have in common: prejudice and lens which categorizes people to see others from a different view. Anyways I appreciated OpenAI for giving kind words and feedbacks to improve my mindfulness. ","As suggested, I would use some time everyday to reflect on myself, and really point out the things about myself that I find positive and great about me. I can then say it out loud to myself in the mirror to improve the sense of self-love and esteem. For example: “You are great just the way you are!” Thanks OpenAI for making my day! ",9/6/2023,Value,5929,3409,3,2023-09-09T00:00:00.000Z,2,1,5,3,1,2,4,2,2,2,1,1,2,4,6,2.5,1,3.5
171,608,5,I like that I was asked what my emotions were like before and after the thinking activity.,I can apply the recommended mindfulness pratice in my dily life by thinking about the positive aspects of the situations I find myself in.,9/8/2023,Choice,4429,3997,1,2023-09-09T00:00:00.000Z,2,3,6,3,3,6,3,5,3,5,6,3,5,5,6,2.5,3,6
172,569,NA,NA,NA,9/6/2023,Control,7294,3496,3,2023-09-09T00:00:00.000Z,3,4,5,3,4,4,5,5,4,5,5,4,5,5,5,3,4,4.5
174,762,4,I like that it specifically helps to target working through negative emotions towards relationships ,When I notice I am starting to be ungrateful or negative about annoyances when dealing with my family I can use this to reflect and appreciate what i have,9/6/2023,Value,6123,3535,3,2023-09-09T00:00:00.000Z,3,1,3,2,1,2,4,7,2,5,4,3,3,1,4,2.5,1,2.5
175,9731,5,I liked when I visualized someone I cared about. It reminded me that there are people in my life that are still with me to support me.,"Whenever I feel sad about my ex-friend no longer being in my life, I can use this strategy to try and make myself feel more at peace. Wishing my ex-friend happiness gave me some comfort knowing that I can still wish the best for her and have some selflessness.",9/6/2023,Value,8827,3280,3,2023-09-09T00:00:00.000Z,2,1,5,3,1,5,1,6,1,4,6,6,6,4,6,2.5,1,5
177,374,NA,NA,NA,9/6/2023,Control,4609,3583,3,2023-09-09T00:00:00.000Z,4,2,2,4,2,2,5,5,4,5,6,7,6,7,5,4,2,2
178,619,5,I liked the questions that were asked,I will stop reacting immediately when faced with a negative situation but i will step put of the situation to react rationally and calmly,9/6/2023,Choice,6054,3301,3,2023-09-09T00:00:00.000Z,4,1,1,4,1,1,7,7,5,6,5,7,7,7,7,4,1,1
180,551,6,I liked the calmness that the exercise brought me and the overall responsiveness of the technique itself.,I can reconsider my reactions by considering new perspectives to situations I am usually not ready to face.,9/6/2023,Choice,8298,3427,3,2023-09-09T00:00:00.000Z,4,1,3,4,1,2,5,4,4,5,3,6,5,5,4,4,1,2.5
181,5203,5,"I disliked that it was a bit long and was not specific to the person of my concern but more broad and the technique was generalized to all situations, rather than my one specifically. But I like how it felt newer and had guided instructions. It used affirmations tailored to what my concerns were about.",I can try to practise focusing on love and compassion in daily life to improve my perspective of feeling more positive and supportive to people in my life including myself.,9/7/2023,Value,2596,3613,2,2023-09-09T00:00:00.000Z,1,1,4,2,1,2,2,1,4,2,2,3,2,3,1,1.5,1,3
182,692,5,I liked the aspect of training your brain to think about the positives in unpleasant situations.,"I can apply the recommended mindfulness practice in my daily life by not being too hard on myself when things do not go my way, and instead look for any positives that I can take away from that situation.",9/8/2023,Choice,1388,4138,1,2023-09-09T00:00:00.000Z,2,2,4,2,1,3,3,3,5,4,4,5,5,4,2,2,1.5,3.5
186,20810,3,I loved how it forced me to think about exactly what I'm appreciative for instead focusing on the idealized lives portrayed on social media full of belongings that don't contribute to any sense of self.,By recognizing that money isn't everything and that there will always be someone richer or farther ahead in life than you. The only way to cope is to grow comfortable with your own situation.,9/6/2023,Value,1904,3796,3,2023-09-09T00:00:00.000Z,5,1,5,5,1,3,5,6,2,7,4,2,7,5,3,5,1,4
187,1460,4,I feel like some negative experiences people face shouldn't be seen/ try to be seen as positive because that could make the person feel as though their feelings are invalid.,I would make sure that I try to see things from other peoples perspectives before I react to a situation. ,9/7/2023,Choice,5085,3955,2,2023-09-09T00:00:00.000Z,4,1,4,3,1,3,5,5,7,4,4,5,5,7,5,3.5,1,3.5
188,448,6,it helps me to ground myself and look at the bigger picture in stressful situations,by stepping back from the anxiety to look at the anxiety as something that's happening without consuming me,9/6/2023,Choice,3790,3475,3,2023-09-09T00:00:00.000Z,5,1,1,5,1,1,7,7,7,7,7,7,7,6,7,5,1,1
190,10249,3,"I enjoy the concept and the usage of the words to encourage the person to guide them through the exercise, however it was difficult for me personally to see how to apply it for the future in this moment.","By continuing to recognize when I am stressed, or when I need to take a break from the stimuli that causes me to feel overwhelmed-- those would be appropriate times",9/7/2023,Choice,7725,3961,2,2023-09-09T00:00:00.000Z,3,2,5,3,2,5,5,3,2,4,5,5,4,3,7,3,2,5
192,418,NA,NA,NA,9/6/2023,Control,9832,3406,4,2023-09-10T00:00:00.000Z,2,4,5,3,3,5,5,6,5,3,6,2,4,4,4,2.5,3.5,5
194,446,3,The usage of AI chatbots in this study feels too fake for me and I wish it were with real people.,"I could try to use this ""mindfulness practice"" when stressed but quite frankly, I don't notice any difference whatsoever.",9/7/2023,Value,9682,3943,3,2023-09-10T00:00:00.000Z,1,3,5,2,3,4,3,1,1,2,5,2,4,2,1,1.5,3,4.5
195,1466,5,I liked the mindfulness tips. Going to save those for future reference.,"All of the suggestions are helpful. I'd like to try more journaling, visualization and breathing.",9/7/2023,Choice,8227,4033,3,2023-09-10T00:00:00.000Z,2,2,4,2,1,2,5,4,1,4,4,2,3,2,3,2,1.5,3
196,744,2,The exercise was too simple compared to the other ones. This exercise only had one set of affirmations while the other exercises consisted of multiple sets and steps.,"Whenever I feel sad, lonely, or regretful of my mistakes, I can use the method of visualizing myself and my friends in a warmth radiance to help me feel better and warm inside. This can help distract me from my negative thoughts. If I can't do that though, then focusing on warm emotions will have the same effect.",9/6/2023,Value,8827,3280,4,2023-09-10T00:00:00.000Z,3,1,4,4,1,2,1,7,1,5,5,5,4,4,5,3.5,1,3
198,398,NA,NA,NA,9/7/2023,Control,6230,3871,3,2023-09-10T00:00:00.000Z,2,2,3,2,2,3,3,3,3,3,3,3,5,5,4,2,2,3
199,439,NA,NA,NA,9/9/2023,Control,1784,4306,1,2023-09-10T00:00:00.000Z,1,1,2,2,1,2,5,5,1,2,2,2,3,5,2,1.5,1,2
200,939,NA,NA,NA,9/7/2023,Control,1880,3907,3,2023-09-10T00:00:00.000Z,4,1,4,NA,1,4,4,6,6,6,6,6,6,7,6,NA,1,4
201,523,5,I liked how the chatbot gave me exercises to do that I can perform outside of this experiment. I also liked how the chatbot gave me questions that helped me really think about how I feel right now,I can apply the recommended mindfulness practices to my daily life because the recommended practices can be done anywhere and at any time. This is good as it won't take too much time for me to quickly write down positive thoughts in my journal.,9/8/2023,Value,5474,3889,2,2023-09-10T00:00:00.000Z,3,1,4,4,1,3,4,6,5,5,5,7,5,6,5,3.5,1,3.5
202,810,1,"I felt angry that the chatbot did not validate my concerns, seemed to brush past it and straight away talked about the exercise. I would have appreciated if the chatbot was more understanding before proceeding with the exercise and asked me if I felt comfortable trying it before giving me all the details. I liked how the chatbot tried to listen to my feedback. ",I can practise mindful body scans before I go to sleep or mindful walking on the way to campus. ,9/7/2023,Value,2596,3613,3,2023-09-10T00:00:00.000Z,2,1,5,1,4,5,1,1,1,2,4,3,2,1,2,1.5,2.5,5
203,937,5,"I liked the simplicity of the exercise and though it is easy , it can have a big impact of you are willing to give it your all.","I can take a moment in my day , perhaps when I am feeling socially conflicted and practice this exercise and see how it shifts my attitudes.",9/9/2023,Value,3838,3481,1,2023-09-10T00:00:00.000Z,3,1,6,3,1,5,4,4,4,5,6,5,4,3,5,3,1,5.5
204,410,NA,NA,NA,9/7/2023,Control,5727,3310,3,2023-09-10T00:00:00.000Z,2,4,3,3,2,2,3,3,4,4,3,2,5,5,3,2.5,3,2.5
205,396,NA,NA,NA,9/7/2023,Control,8195,4024,3,2023-09-10T00:00:00.000Z,3,1,5,3,1,4,6,5,4,4,6,6,4,4,2,3,1,4.5
206,761,4,I feel like repeating excerises is effective because it takes practice to master a skill and for it to become more of a reflex,When I feel overwhelmed I can use my breath as a grounding technique to be intentional about responding rather than reacting,9/6/2023,Choice,6298,3355,4,2023-09-10T00:00:00.000Z,3,2,3,3,2,2,3,3,2,4,4,3,4,2,4,3,2,2.5
208,1124,3,I really liked being guided on what to do with my emotions. It did feel like I was able to calm down from the exercise. There was nothing I particularly disliked though.,"Whenever I feel overwhelmed I will try to view my feelings as a separate part of me, something that does not define me. ",9/9/2023,Choice,7733,4252,1,2023-09-10T00:00:00.000Z,2,1,2,3,1,2,3,4,5,3,3,3,5,3,3,2.5,1,2
210,368,NA,NA,NA,9/7/2023,Control,1705,3394,3,2023-09-10T00:00:00.000Z,4,2,3,4,2,2,6,6,6,5,5,5,5,5,5,4,2,2.5
211,850,5,"I liked how the metaphors used about the exercise were nice to imagine, however for me personally it takes me a while to find positive aspects in negative situations","I guess that whenever I feel really negative about a situation, I could spend my time and energy onto finding positivity little by little- starting with smaller aspects to redirect my emotions.",9/7/2023,Choice,7725,3961,3,2023-09-10T00:00:00.000Z,2,1,4,1,1,4,4,3,4,3,5,5,5,4,5,1.5,1,4
212,17753,NA,NA,NA,9/8/2023,Control,6001,4186,2,2023-09-10T00:00:00.000Z,3,4,4,3,3,4,4,3,3,3,3,5,4,5,4,3,3.5,4
214,1113,5,I liked that the LKM method included people your close to and people your having difficulty with. I think it’s important to still wish everyone the best in order to move forward in life and not be stuck in the past.,By being kinder to others and finding ways small ways to make their lives easier and show that someone cares,9/7/2023,Value,5204,3898,3,2023-09-10T00:00:00.000Z,3,1,4,3,1,3,3,3,3,4,5,4,6,3,3,3,1,3.5
215,378,NA,NA,NA,9/8/2023,Control,5183,3493,2,2023-09-10T00:00:00.000Z,4,1,2,4,1,1,5,5,5,4,5,4,5,4,4,4,1,1.5
216,1033,7,"I liked how it made me think of a hurtful event/ comment, and made me excercice my reaction to it (or how to NOT react to it)","I will be not taking things to heart. I will let things go, and also respond in a calm manner that is true to myself, while protecting myself.",9/6/2023,Choice,1205,3526,4,2023-09-10T00:00:00.000Z,5,2,2,5,1,2,5,6,4,6,3,5,7,6,7,5,1.5,2
220,488,6,I liked that it allowed me to step back and think about myself.,I will do this everytime I feel stressed from now on just to get a better picture of what I actually feel.,9/6/2023,Value,8671,3751,4,2023-09-10T00:00:00.000Z,4,2,6,4,2,4,6,5,6,6,6,6,6,6,6,4,2,5
221,919,7,In todays exercise I liked that I was taught to view a negative event in a more positive light.  As a result of doing so I was taught that not all aspects of life are bad and you can see the beauty in them when you really focus.  ,"I can apply the recommended mindfulness practice in my daily life by trying to see the good in all bad.  For instance, I know that there is always going to be bad events in life but it is up to myself to see it that way.  I will begin by seeing those events in a more positive life and thats how I will incorporate this mindfulness practice in my daily life.
",9/7/2023,Choice,8843,4009,3,2023-09-10T00:00:00.000Z,4,1,2,5,1,2,3,6,6,6,7,6,7,7,7,4.5,1,2
222,889,4,I liked that it was simple and easy to do. ,"Each morning, I will name one thing that I am grateful for, and what I will do to show my appreciation with them. I think this can be simple because it could just be a kind word or something. Hopefully this will help make me see the positive side of the world more. ",9/8/2023,Value,8559,4114,0,2023-09-10T00:00:00.000Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,397,NA,NA,NA,9/8/2023,Control,2554,4168,2,2023-09-10T00:00:00.000Z,4,3,2,4,1,1,1,4,4,5,7,6,6,6,6,4,2,1.5
224,438,NA,NA,NA,9/6/2023,Control,1774,3487,4,2023-09-10T00:00:00.000Z,5,1,2,4,2,1,3,4,4,6,4,5,5,5,6,4.5,1.5,1.5
225,582,NA,NA,NA,9/6/2023,Control,5240,3670,4,2023-09-10T00:00:00.000Z,3,3,6,3,2,5,4,3,3,5,4,6,5,4,5,3,2.5,5.5
227,699,NA,NA,NA,9/6/2023,Control,5206,3478,4,2023-09-10T00:00:00.000Z,3,2,2,3,1,1,6,2,6,5,6,6,5,4,4,3,1.5,1.5
229,681,2,liked that it was simple.,I can do it throughout the day - when you need me too. ,9/9/2023,Value,4817,4324,1,2023-09-10T00:00:00.000Z,3,1,3,3,1,2,2,6,5,5,5,4,4,4,2,3,1,2.5
230,487,6,"I like how the recommended exercise can be done anywhere anytime and very useful at the same time. When it is a strategy that is convenient and not noticeable, I am more likely to practice it.","Since this strategy is straightforward and unnoticeable, I can use this strategy anytime I feel stressed, such as in a conversation, before group presentations, during exams, etc. ",9/8/2023,Value,8785,3649,2,2023-09-10T00:00:00.000Z,2,1,3,3,1,3,4,4,4,3,4,2,2,3,5,2.5,1,3
231,399,NA,NA,NA,9/9/2023,Control,4870,4333,1,2023-09-10T00:00:00.000Z,2,4,1,1,2,1,3,1,1,1,6,6,1,3,1,1.5,3,1
232,489,NA,NA,NA,9/6/2023,Control,4609,3583,4,2023-09-10T00:00:00.000Z,5,1,1,4,1,1,5,5,4,5,5,7,6,7,5,4.5,1,1
233,478,6,I liked that I was able to rank the way I was feeling on different scales. I gave me insight into my emotions and allowed me to think of them separate from me.,"I really like the idea of having a gratitude journal, and I intend to apply that practice to my life in order to focus on the positive aspects of my day, instead of being fixed on all the negatives.",9/9/2023,Value,5547,3316,1,2023-09-10T00:00:00.000Z,3,1,3,3,1,3,5,5,5,5,5,3,5,6,5,3,1,3
234,2726,NA,NA,NA,9/6/2023,Control,1317,3772,4,2023-09-10T00:00:00.000Z,4,1,1,4,1,1,5,5,5,5,5,5,6,3,6,4,1,1
235,417,NA,NA,NA,9/8/2023,Control,7329,3706,2,2023-09-10T00:00:00.000Z,3,1,4,3,1,3,7,5,3,3,2,3,4,1,3,3,1,3.5
236,682,6,"I liked it, but I feel it was a repetition, so I feel that my comments from last time would still be true this times","I think these mindfulness practices are best when feeling emotionally overwhelmed, as they remind you that your emotions are fleeting, and they will  pass, just like how they passed many times before.",9/6/2023,Choice,6646,3682,4,2023-09-10T00:00:00.000Z,4,2,2,5,1,2,4,6,6,6,7,7,6,6,6,4.5,1.5,2
237,382,NA,NA,NA,9/8/2023,Control,7775,4159,2,2023-09-10T00:00:00.000Z,5,1,1,NA,1,1,7,7,4,7,7,7,4,7,4,NA,1,1
238,519,NA,NA,NA,9/9/2023,Control,9010,3565,1,2023-09-10T00:00:00.000Z,2,3,4,2,3,4,4,3,3,2,1,2,2,3,2,2,3,4
239,1573,NA,NA,NA,9/8/2023,Control,8582,4030,2,2023-09-10T00:00:00.000Z,3,2,3,3,2,3,2,2,2,4,4,4,6,6,5,3,2,3
